Date,PnL,Capital Required,Average Hit Rate,% profit
1,118.0458349,2562.22588,0.66905969,4.607159571
10,0,0,0,0
11,123.3778029,1790.366827,0.863736264,6.891202464
12,0,0,0,0
13,0,0,0,0
14,45.78524861,732.9480408,0.702233508,6.246725014
15,20.084,353.4495,0.571428571,5.682282759
16,858.1476692,1465.570864,0.618022095,58.55381616
17,341.2249845,1373.616039,0.796799478,24.84136577
18,298.3941675,2398.069203,0.68147835,12.44310077
19,0,0,0,0
2,333.0730374,1257.508514,0.686850382,26.48674214
20,0,0,0,0
21,422.8936773,5829.461698,0.867278025,7.254420721
22,224.9498199,1727.416981,0.654108696,13.02232306
23,60.311414,1353.063023,0.538138879,4.457398731
24,-52.64051412,496.2086548,0.796625178,-10.60854413
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,1411.491718,1464.32547,0.774209975,96.39193923
3,208.3994118,926.6096747,0.802722053,22.49052838
30,0,0,0,0
31,0,0,0,0
4,-26.58944363,754.2133333,0.470318223,-3.525453934
5,0,0,0,0
6,0,0,0,0
7,170.4156896,2402.938712,0.76962661,7.091969877
8,618.3635397,2650.165,0.796074227,23.33302039
9,-27.00868771,1409.704917,0.723144,-1.915910726
,,,,
,Total PnL,Total Capital Required,Average Hit Rate,Average % profit
,5148.71937,30947.86233,0.710103011,16.63675285
