Date,PnL,Capital Required,Average Hit Rate,% profit
1,402.2168046,2431.317779,0.761214069,16.54316058
10,0,0,0,0
11,335.1574891,1821.000037,0.7125,18.40513357
12,0,0,0,0
13,0,0,0,0
14,324.8968299,1094.492058,0.65613491,29.68471333
15,89.47804628,353.5495,0.8,25.30849182
16,1775.71301,1472.713232,0.795228831,120.5742552
17,1962.956746,1524.329546,0.905534498,128.77509
18,1370.215484,2905.851578,0.798957448,47.15366383
19,0,0,0,0
2,623.0387116,1364.585174,0.705034336,45.65773713
20,0,0,0,0
21,2237.154223,6981.471447,0.726537764,32.0441649
22,1164.476966,2736.179838,0.816270594,42.55849524
23,620.9159007,1325.092304,0.797624848,46.85831311
24,504.9659324,512.5642933,0.824081805,98.51757896
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,-1
29,1809.231989,1493.729176,0.80521697,121.1218217
3,4542.333865,898.279,0.89893493,505.6707176
30,0,0,0,0
31,0,0,0,0
4,89.21804713,958.1655,0.649906106,9.311339964
5,0,0,0,0
6,0,0,0,0
7,114.8938739,2371.451758,0.657272555,4.844875022
8,-156.272513,2764.594069,0.554764843,-5.652638655
9,749.5901794,1540.028799,0.805547148,48.67377675
,,,,
,Total PnL,Total Capital Required,Average Hit Rate,Average % profit
,18560.18158,34549.39509,0.759486759,74.16948278
