time t,actual price at t,expected price at t + 2,actual price at t + 2,delta at t,actual delta at t + 2,spot at t,actual spot at t + 2,time t + 2,trade pnl,    , Total PnL:
"01/12/2020, 09:15:06",66.05,67.95441696632453,68.36377551020408,-0.12270175047888188,-0.1248470260634349,29683.05,29694.1,"01/12/2020, 09:15:08",1.6532755102040815,    ,43.14030965956931
"01/12/2020, 09:15:12",68.5,66.72839075956377,66.214,-0.12331224588706391,-0.12051123313767675,29715.0,29696.75,"01/12/2020, 09:15:14",1.6010000000000013
"01/12/2020, 09:15:13",66.214,65.05572859144927,68.1,-0.12051123313767675,-0.12432628845999716,29719.4,29691.35,"01/12/2020, 09:15:15",-1.2238599999999957,   ,positive:,70
"01/12/2020, 09:15:14",66.214,67.45567940945287,69.85,-0.12051123313767675,-0.12758777684211964,29696.75,29667.65,"01/12/2020, 09:15:16",2.9738599999999957,   ,negative:,68
"01/12/2020, 09:15:15",68.1,69.1273996403687,75.0,-0.12432628845999716,-0.13281783353704668,29691.35,29666.15,"01/12/2020, 09:15:17",6.219000000000006
"01/12/2020, 09:15:16",69.85,71.53830329655774,73.55,-0.12758777684211964,-0.13083639271371794,29667.65,29674.85,"01/12/2020, 09:15:18",3.0015000000000027,   ,EPAP:,42
"01/12/2020, 09:15:17",75.0,75.87145524965206,75.9,-0.13281783353704668,-0.1332168925955557,29666.15,29673.45,"01/12/2020, 09:15:19",0.15000000000000568,   ,EPAL:,17
"01/12/2020, 09:15:20",78.55555555555554,81.23216786288181,83.6,-0.13823559510228733,-0.14350306364576682,29635.6,29628.6,"01/12/2020, 09:15:22",4.258888888888896,   ,ELAP:,27
"01/12/2020, 09:15:21",78.55555555555554,81.31724668195841,84.5,-0.13823559510228733,-0.14448673932747624,29614.3,29626.35,"01/12/2020, 09:15:23",5.158888888888901,   ,ELAL:,52
"01/12/2020, 09:15:24",79.95,78.36516729944951,78.38455882352943,-0.13861579363947385,-0.13740874369432277,29650.2,29653.3,"01/12/2020, 09:15:26",0.7659411764705712
"01/12/2020, 09:15:27",76.73984375,75.90104569652314,73.05,-0.13460400235771885,-0.1301872216799893,29661.8,29677.3,"01/12/2020, 09:15:29",2.9224453125000087
"01/12/2020, 09:15:28",76.73984375,75.87102607408183,71.6,-0.13460400235771885,-0.1279688498016185,29670.5,29689.7,"01/12/2020, 09:15:30",4.372445312500012
"01/12/2020, 09:15:30",71.6,70.58939213627836,73.3,-0.1279688498016185,-0.12984176855752594,29689.7,29686.65,"01/12/2020, 09:15:32",-0.9840000000000029
"01/12/2020, 09:15:35",79.44742268041237,80.80782278473585,80.6,-0.13806287178113053,-0.1381869681608805,29653.85,29665.6,"01/12/2020, 09:15:37",0.3581030927834975
