time t,actual price at t,expected price at t + 2,actual price at t + 2,delta at t,expected delta at t+2,actual delta at t + 2,spot at t,expected spot at t+2,actual spot at t + 2,time t + 2,trade pnl,    , Total PnL:
"01/12/2020, 09:15:16",54.76860465116279,55.389856782962696,59.9,-0.10565315235453454,-0.1581769231032977,-0.11095627396571217,29667.65,-5.880109754938526,29674.85,"01/12/2020, 09:15:18",4.583709302325581,    ,-2.7816815248873006
"01/12/2020, 09:15:17",60.75,61.80655417152005,60.670833333333334,-0.11233162833832466,-0.16909487639324572,-0.113285611757874,29666.15,-9.40566950866125,29673.45,"01/12/2020, 09:15:19",-0.6866666666666658
"01/12/2020, 09:15:18",59.9,60.52050061342329,60.670833333333334,-0.11095627396571217,-0.16714917991267256,-0.113285611757874,29674.85,-5.592298580745751,29635.6,"01/12/2020, 09:15:20",0.17183333333333572,   ,positive:,12
"01/12/2020, 09:15:21",65.76851851851852,66.78993911690085,69.05,-0.12100749737555816,-0.1822753690515802,-0.12305544080390973,29614.3,-8.440969531104882,29626.35,"01/12/2020, 09:15:23",2.623796296296293,   ,negative:,15
"01/12/2020, 09:15:22",69.05,70.12263111491916,66.8,-0.12305544080390973,-0.18559855856357824,-0.11953281698424689,29628.6,-8.716649242908362,29650.2,"01/12/2020, 09:15:24",-2.9405
"01/12/2020, 09:15:23",69.05,70.10118470639584,65.45,-0.12305544080390973,-0.18553306945433745,-0.11842438607345684,29626.35,-8.54236675378639,29645.3,"01/12/2020, 09:15:25",-4.290499999999994,   ,EPAP:,11
"01/12/2020, 09:15:27",65.60588235294118,64.90795492469697,61.9,-0.11802494545918307,-0.17657891933689193,-0.11296152520117175,29661.8,5.913389118960307,29677.3,"01/12/2020, 09:15:29",3.0498235294117695,   ,EPAL:,7
"01/12/2020, 09:15:30",59.95,59.24331755250007,61.55,-0.11023508682228567,-0.16470202073636442,-0.11209732774659642,29689.7,6.410685271552398,29686.65,"01/12/2020, 09:15:32",-1.0004999999999944,   ,ELAP:,5
"01/12/2020, 09:16:15",64.36,65.02005843987268,65.25,-0.11700944814947434,-0.1758659941174006,-0.11733265707789542,29652.0,-5.64106959148711,29661.15,"01/12/2020, 09:16:17",0.2464000000000005,   ,ELAL:,4
"01/12/2020, 09:20:45",82.15,82.99824975560283,82.45,-0.14240118011912273,-0.2141335609786364,-0.1427542064448062,29525.1,-5.956760715699375,29524.05,"01/12/2020, 09:20:47",-0.521500000000003
"01/12/2020, 09:20:46",81.35,82.25516660214757,82.45,-0.1415664967680641,-0.21287959584362642,-0.1428320176728448,29526.35,-6.393932341425064,29522.95,"01/12/2020, 09:20:48",0.2865000000000085
"01/12/2020, 09:20:47",82.45,83.34969636236575,82.45,-0.1427542064448062,-0.21464238214260156,-0.1428320176728448,29524.05,-6.302415773041289,29530.55,"01/12/2020, 09:20:49",-0.8245
"01/12/2020, 10:35:44",44.15,43.69186019369499,45.95,-0.08840975874591095,-0.1321510178858976,-0.09094442948480719,29769.2,5.182004937053339,29761.25,"01/12/2020, 10:35:46",-1.3585000000000043
"01/12/2020, 12:28:16",43.35,43.901925693232876,43.3,-0.08807872279703588,-0.13259261601234767,-0.08805559934899065,29753.8,-6.266277208681852,29752.85,"01/12/2020, 12:28:18",-0.48350000000000426
"01/12/2020, 12:28:17",43.5,44.11269993945318,43.75,-0.08816867325549538,-0.1326811485592317,-0.08840156174301228,29756.15,-6.949179530894118,29758.05,"01/12/2020, 12:28:19",-0.185
"01/12/2020, 12:28:18",43.3,43.92481860515385,43.75,-0.08805559934899065,-0.13250641318727932,-0.08840156174301228,29752.85,-7.0957282645651585,29756.05,"01/12/2020, 12:28:20",0.017000000000002846
"01/12/2020, 12:28:23",46.85,47.736487668696505,47.75,-0.09516636118860333,-0.14332038134562092,-0.09550976799346245,29691.45,-9.315136752361843,29707.85,"01/12/2020, 12:28:25",0.43149999999999855
"01/12/2020, 12:28:24",48.25,49.294264164683675,47.25,-0.09650032122863195,-0.14545458955273477,-0.09487873179523376,29699.5,-10.821354285542427,29710.35,"01/12/2020, 12:28:26",-1.4825
"01/12/2020, 12:28:25",47.75,48.483847069098324,47.25,-0.09550976799346245,-0.14383887386564806,-0.09487873179523376,29707.85,-7.683476617266578,29710.35,"01/12/2020, 12:28:27",-0.9775
"01/12/2020, 12:28:26",47.25,47.81614329284611,48.244,-0.09487873179523376,-0.1425824481383811,-0.09629622517195457,29710.35,-5.967020027923128,29695.35,"01/12/2020, 12:28:28",0.5214999999999997
"01/12/2020, 13:39:10",34.68556701030928,34.29311385121388,32.85,-0.07415748011680989,-0.11071935964104104,-0.0712842072971398,29823.7,5.292158774505504,29832.05,"01/12/2020, 13:39:12",1.4887113402061836
"01/12/2020, 13:39:11",34.68556701030928,34.28678555071322,34.3,-0.07415748011680989,-0.11082059529759505,-0.07367699170117703,29823.5,5.377494744534409,29820.75,"01/12/2020, 13:39:13",0.03871134020618777
"01/12/2020, 13:39:12",32.85,32.36443333439189,34.05,-0.0712842072971398,-0.1063252883599583,-0.07315637944884656,29832.05,6.811700431542739,29825.9,"01/12/2020, 13:39:14",-0.8714999999999957
"01/12/2020, 14:13:08",31.0,30.57663296397019,31.6,-0.06750742562644518,-0.10090422596931978,-0.06833311407490328,29868.75,6.2714143237001005,29869.4,"01/12/2020, 14:13:10",-0.2900000000000014
"01/12/2020, 14:13:09",31.1,30.687866262342077,31.55,-0.06760235925185043,-0.10104801889727776,-0.06823005154501516,29870.25,6.09644015710358,29870.45,"01/12/2020, 14:13:11",-0.1389999999999993
"01/12/2020, 14:13:10",31.6,31.193551299111387,31.2,-0.06833311407490328,-0.10227205151191915,-0.06777940077427047,29869.4,5.948048854367827,29869.1,"01/12/2020, 14:13:12",0.08400000000000213
"01/12/2020, 15:21:49",22.35,22.608209115199056,22.3,-0.055864413957351644,-0.08388160799933093,-0.0557475904201965,29807.0,-4.622067912431309,29813.6,"01/12/2020, 15:21:51",-0.27350000000000074
