time t,actual price at t,expected price at t + 15,actual price at t + 15,delta at t,expected delta at t+15,actual delta at t + 15,spot at t,expected spot at t+15,actual spot at t + 15,time t + 15,trade pnl,    , Total PnL:
"01/12/2020, 09:15:35",79.44742268041237,80.3889293244307,77.65,-0.13806287178113053,-0.2077323717591883,-0.1348837387013191,29653.85,-4.532305851250582,29673.6,"01/12/2020, 09:15:50",-2.591896907216491,    ,-14.258945056514955
"01/12/2020, 09:20:45",96.2,97.32329685001908,96.2,-0.16267338382931484,-0.2444331249156285,-0.16235639427577553,29525.1,-4.595518100939904,29528.9,"01/12/2020, 09:21:00",-0.9620000000000001
"01/12/2020, 09:20:46",97.95,99.07082031370996,95.0,-0.1640636855881894,-0.24660792196675896,-0.16076322731350956,29526.35,-4.54494853519357,29535.65,"01/12/2020, 09:21:01",-3.9295000000000027,   ,positive:,14
"01/12/2020, 09:20:47",98.4,99.54330780559233,95.45,-0.1646385527237726,-0.24742621578623752,-0.16154432960320264,29524.05,-4.620803021859571,29530.9,"01/12/2020, 09:21:02",-3.934000000000003,   ,negative:,25
"01/12/2020, 09:20:48",98.4,99.52053672152627,93.7,-0.16473136265631183,-0.24757853654232276,-0.15874191631155554,29522.95,-4.525984914426177,29546.6,"01/12/2020, 09:21:03",-5.684000000000003
"01/12/2020, 09:21:03",93.7,92.63148002492223,96.0,-0.15874191631155554,-0.23774587115470064,-0.16148514187079854,29546.6,4.494378682111749,29537.35,"01/12/2020, 09:21:18",-1.362999999999997,   ,EPAP:,7
"01/12/2020, 09:24:45",88.17373737373738,87.23526342804051,87.135,-0.14978974165842374,-0.22460566486726924,-0.14817487501659343,29628.9,4.178318237215676,29606.05,"01/12/2020, 09:25:00",0.15700000000000258,   ,EPAL:,10
"01/12/2020, 09:30:12",81.7,80.83626970912634,78.9,-0.14062822083360516,-0.21053939814052094,-0.137613130095815,29644.75,4.102463949750503,29650.45,"01/12/2020, 09:30:27",1.982999999999997,   ,ELAP:,11
"01/12/2020, 09:52:09",71.9,71.15172747147591,71.1,-0.12884358964129206,-0.19279304120094792,-0.12746653519570827,29680.7,3.881221665797444,29689.95,"01/12/2020, 09:52:24",0.08100000000001129,   ,ELAL:,11
"01/12/2020, 10:35:44",53.55,52.88697419944201,55.3,-0.10420047724437609,-0.15585305131950672,-0.1065872224216946,29769.2,4.25417272837832,29761.65,"01/12/2020, 10:35:59",-1.2145000000000001
"01/12/2020, 10:35:45",53.15,52.58001051864611,54.35,-0.1041345918793013,-0.15573570505521925,-0.10489612029687123,29761.35,3.659979457837161,29773.6,"01/12/2020, 10:36:00",-0.6685000000000029
"01/12/2020, 10:54:03",46.35,45.88357625681794,45.0,-0.09051443598764308,-0.13563810044381855,-0.08908968575269682,29883.2,3.4387369157772496,29878.25,"01/12/2020, 10:54:18",0.8865000000000014
"01/12/2020, 10:54:04",44.25,43.76361799833517,45.0,-0.08786804348801525,-0.1315290104273982,-0.08914341428862826,29885.7,3.697906644962579,29876.95,"01/12/2020, 10:54:19",-0.3075
