time t,actual price at t,expected price at t + 2,actual price at t + 2,delta at t,expected delta at t+2,actual delta at t + 2,spot at t,expected spot at t+2,actual spot at t + 2,time t + 2,trade pnl,    , Total PnL:
"01/12/2020, 09:15:06",66.05,70.66972090553008,68.36377551020408,-0.12270175047888188,-0.12174123728527775,-0.1248470260634349,29683.05,-37.650000000001455,29694.1,"01/12/2020, 09:15:08",1.6532755102040815,    ,-337.8396000927472
"01/12/2020, 09:15:07",66.65,68.97456417427121,68.36377551020408,-0.122992813453493,-0.12242967604834121,-0.1248470260634349,29688.6,-18.900000000001455,29696.45,"01/12/2020, 09:15:09",1.0472755102040727
"01/12/2020, 09:15:08",68.36377551020408,66.98421587220321,72.02142857142857,-0.1248470260634349,-0.12699230164798792,-0.12861489890383382,29694.1,11.049999999999272,29688.1,"01/12/2020, 09:15:10",-2.974015306122453,   ,positive:,526
"01/12/2020, 09:15:09",68.36377551020408,67.38372635560584,72.02142857142857,-0.1248470260634349,-0.1267012386733768,-0.12861489890383382,29696.45,7.850000000002183,29684.8,"01/12/2020, 09:15:11",-2.974015306122453,   ,negative:,1128
"01/12/2020, 09:15:10",72.02142857142857,72.79311796485158,68.5,-0.12861489890383382,-0.13238277174423274,-0.12331224588706391,29688.1,-6.0,29715.0,"01/12/2020, 09:15:12",-4.241642857142858
"01/12/2020, 09:15:11",72.02142857142857,73.51979214365842,66.214,-0.12861489890383382,-0.13238277174423274,-0.12051123313767675,29684.8,-11.650000000001455,29719.4,"01/12/2020, 09:15:13",-6.527642857142859,   ,EPAP:,446
"01/12/2020, 09:15:12",68.5,65.1829005856378,66.214,-0.12331224588706391,-0.118009592870294,-0.12051123313767675,29715.0,26.900000000001455,29696.75,"01/12/2020, 09:15:14",1.6010000000000013,   ,EPAL:,367
"01/12/2020, 09:15:13",66.214,62.04431133343612,68.1,-0.12051123313767675,-0.11240756737151969,-0.12432628845999716,29719.4,34.60000000000218,29691.35,"01/12/2020, 09:15:15",-1.2238599999999957,   ,ELAP:,340
"01/12/2020, 09:15:14",66.214,68.4133300047626,69.85,-0.12051123313767675,-0.1177102203882896,-0.12758777684211964,29696.75,-18.25,29667.65,"01/12/2020, 09:15:16",2.9738599999999957,   ,ELAL:,501
"01/12/2020, 09:15:15",68.1,71.58735239130327,75.0,-0.12432628845999716,-0.12814134378231756,-0.13281783353704668,29691.35,-28.05000000000291,29666.15,"01/12/2020, 09:15:17",6.219000000000006
"01/12/2020, 09:15:16",69.85,73.56280430610549,73.55,-0.12758777684211964,-0.13466432054656252,-0.13083639271371794,29667.65,-29.099999999998545,29674.85,"01/12/2020, 09:15:18",3.0015000000000027
"01/12/2020, 09:15:17",75.0,78.34700940513319,75.9,-0.13281783353704668,-0.1413093786140962,-0.1332168925955557,29666.15,-25.199999999997086,29673.45,"01/12/2020, 09:15:19",0.15000000000000568
"01/12/2020, 09:15:18",73.55,72.60797797246161,78.55555555555554,-0.13083639271371794,-0.13408500858531625,-0.13823559510228733,29674.85,7.199999999997089,29635.6,"01/12/2020, 09:15:20",-4.270055555555546
"01/12/2020, 09:15:19",75.9,74.92751668405255,78.55555555555554,-0.1332168925955557,-0.1336159516540647,-0.13823559510228733,29673.45,7.299999999999272,29614.3,"01/12/2020, 09:15:21",-1.8965555555555371
"01/12/2020, 09:15:20",78.55555555555554,83.98130266332032,83.6,-0.13823559510228733,-0.14563479749085673,-0.14350306364576682,29635.6,-39.25,29628.6,"01/12/2020, 09:15:22",4.258888888888896
"01/12/2020, 09:15:21",78.55555555555554,86.73219100585604,84.5,-0.13823559510228733,-0.14325429760901898,-0.14448673932747624,29614.3,-59.150000000001455,29626.35,"01/12/2020, 09:15:23",5.158888888888901
"01/12/2020, 09:15:22",83.6,84.60452144552036,79.95,-0.14350306364576682,-0.1487705321892463,-0.13861579363947385,29628.6,-6.999999999999999,29650.2,"01/12/2020, 09:15:24",-4.485999999999992
"01/12/2020, 09:15:23",84.5,82.75893479110401,78.38455882352943,-0.14448673932747624,-0.15073788355266515,-0.13740874369432277,29626.35,12.049999999999272,29645.3,"01/12/2020, 09:15:25",5.270441176470569
"01/12/2020, 09:15:24",79.95,76.95589885738707,78.38455882352943,-0.13861579363947385,-0.13372852363318088,-0.13740874369432277,29650.2,21.600000000002183,29653.3,"01/12/2020, 09:15:26",0.7659411764705712
"01/12/2020, 09:15:25",78.38455882352943,75.78066313052192,76.73984375,-0.13740874369432277,-0.1303307480611693,-0.13460400235771885,29645.3,18.950000000000728,29661.8,"01/12/2020, 09:15:27",0.8608694852941314
"01/12/2020, 09:15:27",76.73984375,74.51887771109764,73.05,-0.13460400235771885,-0.13179926102111494,-0.1301872216799893,29661.8,16.5,29677.3,"01/12/2020, 09:15:29",2.9224453125000087
