time t,actual price at t,expected price at t + 3,actual price at t + 3,delta at t,expected delta at t+3,actual delta at t + 3,spot at t,expected spot at t+3,actual spot at t + 3,time t + 3,trade pnl,    , Total PnL:
"01/12/2020, 09:15:22",115.0,117.24575030344735,110.575,-0.18681060892049572,-0.1951977664882514,-0.1817209308001111,29628.6,-11.505000000000106,29645.3,"01/12/2020, 09:15:25",-5.5749999999999975,    ,-165.74649999999997
"01/12/2020, 09:15:23",115.0,117.71278673111486,110.575,-0.18703366849877057,-0.19168251058928085,-0.1817209308001111,29626.35,-14.152500000000328,29653.3,"01/12/2020, 09:15:26",-5.5749999999999975
"01/12/2020, 09:15:24",113.0,114.60891708485522,108.80000000000001,-0.18315568563593843,-0.1871922146428436,-0.17874322156785638,29650.2,-8.594999999999889,29661.8,"01/12/2020, 09:15:27",-5.3299999999999885,   ,positive:,37
"01/12/2020, 09:15:40",110.1,108.98853313165208,117.225,-0.17951596896637056,-0.18072632005657252,-0.1862657016772573,29655.3,6.149999999999999,29651.55,"01/12/2020, 09:15:43",-8.225999999999999,   ,negative:,127
"01/12/2020, 09:16:30",110.6,111.82185506445718,113.5,-0.182300230335386,-0.18387585620123564,-0.1845595352278906,29639.5,-6.64499999999989,29639.7,"01/12/2020, 09:16:33",1.7940000000000058
"01/12/2020, 09:16:43",117.45,118.66065131045748,119.2,-0.19052386110161024,-0.1919383766083851,-0.19253311843385745,29610.35,-6.307500000000437,29603.7,"01/12/2020, 09:16:46",0.5754999999999999
"01/12/2020, 09:16:44",118.7,119.94179339650053,116.25,-0.19156513690177235,-0.1932000616881468,-0.1890581127099722,29609.45,-6.427499999999782,29615.75,"01/12/2020, 09:16:47",-3.637000000000003
"01/12/2020, 09:16:45",119.2,120.52513561313425,115.0,-0.19253311843385745,-0.19415906419549414,-0.1879934518456139,29603.7,-6.824999999999999,29616.75,"01/12/2020, 09:16:48",-5.392000000000003
"01/12/2020, 09:16:46",119.2,120.50911749033814,115.0,-0.19253311843385745,-0.19415906419549414,-0.1879934518456139,29603.7,-6.74250000000011,29616.75,"01/12/2020, 09:16:49",-5.392000000000003
"01/12/2020, 09:18:31",129.75,131.55320037015903,127.4,-0.2058623629181966,-0.20834204161282718,-0.2029811229022016,29551.75,-8.655000000000108,29562.5,"01/12/2020, 09:18:34",-3.6474999999999946
"01/12/2020, 09:18:32",129.65,131.5457583581698,127.3,-0.2055557010407938,-0.20803932599942768,-0.20282626919652103,29553.85,-9.1125,29563.25,"01/12/2020, 09:18:35",-3.6465000000000085
"01/12/2020, 09:18:33",131.0,132.60434543327935,124.95,-0.20610496858353144,-0.20849193414936676,-0.19946432635151723,29557.5,-7.69499999999989,29578.45,"01/12/2020, 09:18:36",-7.359999999999998
"01/12/2020, 09:18:34",127.4,128.84672827327003,124.3,-0.2029811229022016,-0.204773994801144,-0.19967364678450394,29562.5,-7.064999999999781,29572.1,"01/12/2020, 09:18:37",-4.3740000000000085
"01/12/2020, 09:20:53",133.0,134.38782836542782,136.45,-0.21120860633345728,-0.21269400236441902,-0.21492043829312024,29525.15,-6.525000000000002,29514.0,"01/12/2020, 09:20:56",2.1199999999999886
"01/12/2020, 09:20:54",135.15,136.58740659475782,138.5,-0.2130173021214432,-0.21485898277397178,-0.21608206284327025,29522.5,-6.689999999999783,29516.0,"01/12/2020, 09:20:57",1.9984999999999942
"01/12/2020, 09:20:55",136.4,138.2501512565195,134.7,-0.21496950621440192,-0.2171539033473604,-0.2140621162197931,29513.3,-8.51999999999989,29511.05,"01/12/2020, 09:20:58",-3.064000000000017
"01/12/2020, 09:20:56",136.45,138.26879101968262,133.75,-0.21492043829312024,-0.21710426973234126,-0.21199122243160673,29514.0,-8.377499999999781,29522.95,"01/12/2020, 09:20:59",-4.064499999999988
"01/12/2020, 09:20:57",138.5,140.118511203128,134.1,-0.21608206284327025,-0.21820171258887536,-0.21153964580662432,29516.0,-7.41750000000011,29528.9,"01/12/2020, 09:21:00",-5.7850000000000055
"01/12/2020, 09:20:58",134.7,136.48760052173867,132.3,-0.2140621162197931,-0.21589378281867921,-0.20949904496774252,29511.05,-8.28000000000011,29535.65,"01/12/2020, 09:21:01",-3.7469999999999772
