time t,actual price at t,expected price at t + 2,actual price at t + 2,delta at t,actual delta at t + 2,spot at t,actual spot at t + 2,time t + 2,trade pnl,    , Total PnL:
"01/12/2020, 09:15:06",207.95,211.4473929460183,220.0,-0.3070864744586288,-0.3101812872955634,29683.05,29694.1,"01/12/2020, 09:15:08",9.970500000000012,    ,39.99550456973609
"01/12/2020, 09:15:07",220.0,222.36251364212373,225.85,-0.31125553514357307,-0.3121670770269702,29688.6,29696.45,"01/12/2020, 09:15:09",3.649999999999994
"01/12/2020, 09:15:12",210.25,207.94031148554043,216.06363636363636,-0.3019192504325474,-0.3076004783906683,29715.0,29696.75,"01/12/2020, 09:15:14",-3.7111363636363626,   ,positive:,20
"01/12/2020, 09:15:13",206.85,203.29611389572796,216.06363636363636,-0.29954677702335175,-0.3076004783906683,29719.4,29691.35,"01/12/2020, 09:15:15",-7.145136363636368,   ,negative:,23
"01/12/2020, 09:15:15",216.06363636363636,218.96931927706785,235.02025316455695,-0.3076004783906683,-0.32181273222704476,29691.35,29666.15,"01/12/2020, 09:15:17",16.79598043728422
"01/12/2020, 09:15:16",225.05,228.30169745672046,235.02025316455695,-0.31753197117723175,-0.32181273222704476,29667.65,29674.85,"01/12/2020, 09:15:18",7.719753164556936,   ,EPAP:,14
"01/12/2020, 09:15:17",235.02025316455695,237.9489223331463,239.45,-0.32181273222704476,-0.32203940509134554,29666.15,29673.45,"01/12/2020, 09:15:19",2.079544303797471,   ,EPAL:,7
"01/12/2020, 09:15:20",240.0,243.8381539846976,250.0,-0.3299944403806876,-0.33509211762066116,29635.6,29628.6,"01/12/2020, 09:15:22",7.6,   ,ELAP:,8
"01/12/2020, 09:15:21",245.0,251.71327573809376,241.8,-0.33639178345765686,-0.3326271866171737,29614.3,29626.35,"01/12/2020, 09:15:23",-5.649999999999989,   ,ELAL:,14
"01/12/2020, 09:15:35",234.95,237.41047868808658,243.3,-0.3242783502173552,-0.32504878854524577,29653.85,29665.6,"01/12/2020, 09:15:37",6.000500000000023
"01/12/2020, 09:16:13",230.50967741935483,233.31540629699202,236.15,-0.32238959829555824,-0.32512080388187314,29659.0,29652.0,"01/12/2020, 09:16:15",3.3352258064516276
"01/12/2020, 09:20:45",280.0,284.1419192156523,285.2,-0.3681598805997055,-0.36983640675316565,29525.1,29524.05,"01/12/2020, 09:20:47",2.3999999999999884
"01/12/2020, 09:24:45",259.8352941176471,256.1636590957289,256.412987012987,-0.345000861761946,-0.3441061908233678,29628.9,29607.05,"01/12/2020, 09:24:47",0.8239541634836209
"01/12/2020, 09:30:11",248.5,245.65461248602884,240.85,-0.3319763974104717,-0.32867073232409894,29641.0,29643.5,"01/12/2020, 09:30:13",5.165000000000006
"01/12/2020, 09:30:12",241.0,237.75458218622748,239.8,-0.3284663754129724,-0.3282376753304561,29644.75,29643.7,"01/12/2020, 09:30:14",-1.2100000000000115
"01/12/2020, 09:52:07",225.2,222.57725184757626,214.0,-0.31576572228004807,-0.31028238945509656,29676.95,29680.7,"01/12/2020, 09:52:09",8.94799999999999
"01/12/2020, 10:05:39",227.15,229.60467509720917,230.7,-0.3267397274612449,-0.32863419146451633,29628.0,29625.7,"01/12/2020, 10:05:41",1.2784999999999829
"01/12/2020, 10:05:40",231.65,234.1343631072918,230.85,-0.3279355635640968,-0.32744192867539823,29630.65,29631.5,"01/12/2020, 10:05:42",-3.1165000000000114
"01/12/2020, 10:28:42",185.0,183.07821964735516,191.5,-0.2856617313227616,-0.29001187131143524,29737.0,29731.45,"01/12/2020, 10:28:44",-4.65
"01/12/2020, 10:35:44",172.05,169.66490349478804,177.05,-0.2728507532083313,-0.2770343283373222,29769.2,29761.25,"01/12/2020, 10:35:46",-3.2794999999999996
"01/12/2020, 10:35:45",172.0,170.0452667426822,173.1,-0.2742064344602113,-0.2744717361565563,29761.35,29763.35,"01/12/2020, 10:35:47",0.6200000000000057
"01/12/2020, 10:54:03",148.1,146.31746075770116,144.0,-0.24007695419641095,-0.23760597496220726,29883.2,29881.55,"01/12/2020, 10:54:05",2.6189999999999944
"01/12/2020, 10:54:04",142.0,139.7763965889423,144.1,-0.23565607903037744,-0.23771661990394932,29885.7,29881.25,"01/12/2020, 10:54:06",-0.6799999999999944
"01/12/2020, 11:06:23",152.6,151.02567377657354,152.6,-0.2496562634860311,-0.2496562634860311,29838.95,29837.05,"01/12/2020, 11:06:25",-1.526
"01/12/2020, 12:28:16",170.5,173.99427605409574,170.5184210526316,-0.274815753027724,-0.2746571912894069,29753.8,29752.85,"01/12/2020, 12:28:18",-1.686578947368405
"01/12/2020, 12:28:17",169.8,171.80794925250896,170.5184210526316,-0.2739937096066569,-0.2746571912894069,29756.15,29758.05,"01/12/2020, 12:28:19",-0.9795789473684164
"01/12/2020, 12:28:23",186.55,191.5306259342766,181.9,-0.29532176467910176,-0.28967178714083275,29691.45,29707.85,"01/12/2020, 12:28:25",-6.515500000000006
"01/12/2020, 12:28:24",186.50254237288135,191.02877889519024,181.9,-0.29366019061853876,-0.28967178714083275,29699.5,29710.35,"01/12/2020, 12:28:26",-6.467567796610158
"01/12/2020, 13:07:13",172.0,169.66518137803624,164.75,-0.2725761657075054,-0.269916458910302,29771.45,29762.75,"01/12/2020, 13:07:15",5.53
"01/12/2020, 13:07:14",161.55,159.39804523647177,165.0,-0.26742098602881015,-0.2699578173633199,29766.05,29763.35,"01/12/2020, 13:07:16",-1.8344999999999885
"01/12/2020, 13:07:23",162.2,160.49504066444584,150.65,-0.2639599005760829,-0.25742821176208963,29788.3,29784.35,"01/12/2020, 13:07:25",9.927999999999983
"01/12/2020, 13:30:36",169.35,171.0823357224022,169.3,-0.27959249846389866,-0.27985769547740347,29724.7,29723.15,"01/12/2020, 13:30:38",-1.743499999999983
"01/12/2020, 13:39:09",133.646992481203,132.11532622436357,132.65,-0.241952935266454,-0.23862571219979145,29815.6,29823.5,"01/12/2020, 13:39:11",-0.33947744360903553
"01/12/2020, 13:39:10",133.646992481203,131.01279161725074,130.0,-0.241952935266454,-0.2353280880015518,29823.7,29832.05,"01/12/2020, 13:39:12",2.3105225563909704
"01/12/2020, 14:00:57",141.25,139.40330073857598,139.5,-0.24392740801886248,-0.2433519177884591,29828.6,29824.6,"01/12/2020, 14:00:59",0.3374999999999999
"01/12/2020, 14:13:07",123.95,122.07248908685426,123.45,-0.22586824798054295,-0.2246246011054609,29864.4,29870.25,"01/12/2020, 14:13:09",-0.7395
"01/12/2020, 14:13:08",123.95,121.45644800645772,126.1,-0.2252298008897924,-0.22677949209537474,29868.75,29869.4,"01/12/2020, 14:13:10",-0.9104999999999914
"01/12/2020, 14:35:49",124.4,123.11708724191759,122.4,-0.2276147454722377,-0.2262567717480124,29855.1,29853.8,"01/12/2020, 14:35:51",0.756
"01/12/2020, 14:58:02",104.55,103.37996329737727,104.15,-0.2040691890670132,-0.20414436917235435,29905.55,29902.35,"01/12/2020, 14:58:04",-0.6455000000000086
"01/12/2020, 15:21:08",108.8,110.026497816826,108.6,-0.21938599329587305,-0.21922655810158176,29825.35,29825.25,"01/12/2020, 15:21:10",-1.288000000000003
"01/12/2020, 15:21:09",109.45,110.57483291105048,108.55,-0.22020076557964785,-0.2190668250023009,29823.75,29826.0,"01/12/2020, 15:21:11",-1.9945000000000057
"01/12/2020, 15:21:46",110.0,111.24990463117814,110.4,-0.2223258934009209,-0.22280731755017769,29813.25,29812.4,"01/12/2020, 15:21:48",-0.6999999999999944
"01/12/2020, 15:21:47",110.95,112.42249635819442,111.0,-0.22271240422924166,-0.2241868926830648,29816.0,29807.0,"01/12/2020, 15:21:49",-1.059500000000003
