time t,actual price at t,expected price at t + 10,actual price at t + 10,delta at t,expected delta at t+10,actual delta at t + 10,spot at t,expected spot at t+10,actual spot at t + 10,time t + 10,trade pnl,    , Total PnL:
"01/12/2020, 09:15:49",499.6,505.4222643654509,502.8,0.5847762953635538,0.5895622964749464,0.5852647398569388,29676.9,9.956395995551077,29679.05,"01/12/2020, 09:15:59",-1.7960000000000118,    ,-3536.8266742862234
"01/12/2020, 09:15:50",496.85,502.14223373559923,496.15,0.5836258744238876,0.5879906444582405,0.5861194425961003,29673.6,9.067853170189398,29678.3,"01/12/2020, 09:16:00",-5.668500000000046
"01/12/2020, 09:16:06",501.3,506.4692179719933,485.0,0.5902312796024489,0.5935641647823502,0.5780232186225476,29688.3,8.757953281423877,29658.2,"01/12/2020, 09:16:16",-21.31300000000001,   ,positive:,400
"01/12/2020, 09:16:07",499.0527777777778,504.3172097623349,485.0090909090909,0.5873105188584304,0.5908372752472515,0.5794557148874446,29681.85,8.96362625139034,29661.15,"01/12/2020, 09:16:17",-19.034214646464683,   ,negative:,909
"01/12/2020, 09:16:08",499.0527777777778,504.48562872981176,485.0090909090909,0.5873105188584304,0.5910912364313974,0.5794557148874446,29679.15,9.250389321468223,29653.1,"01/12/2020, 09:16:18",-19.034214646464683
"01/12/2020, 09:16:09",501.7,507.09685413403446,482.35,0.5863168418727582,0.5902680215120572,0.5727525811380474,29680.75,9.204671857619415,29646.55,"01/12/2020, 09:16:19",-24.366999999999965,   ,EPAP:,366
"01/12/2020, 09:16:20",481.9,476.6640730242068,480.282,0.5751305350713665,0.571834372637747,0.5767851561358839,29651.3,-9.103893214682966,29639.5,"01/12/2020, 09:16:30",-3.201000000000005,   ,EPAL:,378
"01/12/2020, 09:16:21",482.3,476.4670556114601,480.282,0.5735335234930972,0.5698383713372684,0.5767851561358839,29648.15,-10.170189098998808,29639.5,"01/12/2020, 09:16:31",-2.8049999999999713,   ,ELAP:,344
"01/12/2020, 09:16:22",481.0,474.68094528544,479.65,0.576061470201239,0.5720762390390294,0.5718073653042666,29652.9,-10.969410456062153,29643.75,"01/12/2020, 09:16:32",-3.4599999999999778,   ,ELAL:,221
"01/12/2020, 09:16:23",482.9,476.0937786480166,478.05,0.5731514556828188,0.5687646145957596,0.5700957914086757,29647.55,-11.875083426028876,29639.7,"01/12/2020, 09:16:33",0.020999999999966157
"01/12/2020, 09:16:24",480.47,473.1520111416471,478.05,0.5759118987043621,0.5711690780043499,0.5700957914086757,29652.4,-12.706785317018667,29639.7,"01/12/2020, 09:16:34",-2.3846999999999845
"01/12/2020, 09:16:25",480.47,472.8152404128941,474.55,0.5759118987043621,0.570925865250644,0.5649198523315135,29652.3,-13.291546162402522,29627.75,"01/12/2020, 09:16:35",1.1153000000000155
"01/12/2020, 09:16:26",479.9,471.95437278768776,471.0,0.5744181018599193,0.5691879214935922,0.5621093539048161,29649.2,-13.832480533926287,29620.75,"01/12/2020, 09:16:36",4.100999999999978
"01/12/2020, 09:16:27",482.05,473.8995384893628,470.0,0.5738143450798816,0.5683882138918862,0.5673072398167278,29648.65,-14.20400444938791,29631.5,"01/12/2020, 09:16:37",7.229500000000011
"01/12/2020, 09:16:28",477.95,469.6276950578038,472.7,0.5730596472858451,0.5674867210630988,0.5651849731293623,29645.8,-14.522580645160943,29627.8,"01/12/2020, 09:16:38",0.47050000000000036
"01/12/2020, 09:16:29",480.282,472.12533400945256,475.35,0.5767851561358839,0.5713280925824817,0.5639782393700443,29654.7,-14.141601779754938,29625.95,"01/12/2020, 09:16:39",0.12917999999995988
"01/12/2020, 09:16:30",480.282,471.8121120815042,475.35,0.5767851561358839,0.5715406292281465,0.5639782393700443,29639.5,-14.684649610678239,29625.95,"01/12/2020, 09:16:40",0.12917999999995988
"01/12/2020, 09:16:31",480.282,471.55073024322854,468.0,0.5767851561358839,0.5717076637365274,0.5603433920441603,29639.5,-15.137819799777345,29616.15,"01/12/2020, 09:16:41",7.479179999999983
"01/12/2020, 09:16:32",479.65,470.8809301624285,465.6,0.5718073653042666,0.5665405850604465,0.5579552629569662,29643.75,-15.335706340377923,29610.35,"01/12/2020, 09:16:42",9.253499999999955
"01/12/2020, 09:16:33",478.05,469.1585349160187,465.6,0.5700957914086757,0.5645655277996181,0.5579552629569662,29639.7,-15.596440489432439,29610.35,"01/12/2020, 09:16:43",7.669499999999989
"01/12/2020, 09:16:34",478.05,469.2161786395327,460.0,0.5700957914086757,0.5645285167303642,0.558174975503789,29639.7,-15.495328142380124,29609.45,"01/12/2020, 09:16:44",13.269500000000011
"01/12/2020, 09:16:35",474.55,465.8966720684077,462.2,0.5649198523315135,0.5593147906617456,0.555296493894275,29627.75,-15.317797552836254,29603.7,"01/12/2020, 09:16:45",7.604500000000023
"01/12/2020, 09:16:36",471.0,462.396162899364,462.2,0.5621093539048161,0.5564258913546332,0.555296493894275,29620.75,-15.306340378197836,29603.7,"01/12/2020, 09:16:46",4.090000000000011
"01/12/2020, 09:16:37",470.0,461.6347108307203,468.95,0.5673072398167278,0.5618044174534852,0.5600469840828737,29631.5,-14.745606229143453,29615.75,"01/12/2020, 09:16:47",-3.649999999999989
"01/12/2020, 09:16:38",472.7,464.5693835144745,469.55,0.5651849731293623,0.5598148728755289,0.5604362778285576,29627.8,-14.38576195773075,29616.75,"01/12/2020, 09:16:48",-1.577000000000023
"01/12/2020, 09:16:39",475.35,467.56346172740723,469.55,0.5639782393700443,0.558692923129696,0.5604362778285576,29625.95,-13.806451612903137,29616.75,"01/12/2020, 09:16:49",1.0465000000000106
"01/12/2020, 09:16:40",475.35,468.02963773372073,467.85,0.5639782393700443,0.5588494640005036,0.5610548661934445,29625.95,-12.979866518353662,29617.65,"01/12/2020, 09:16:50",2.7464999999999993
"01/12/2020, 09:16:41",468.0,461.08839176229225,469.1,0.5603433920441603,0.555417984507324,0.5619241778731521,29616.15,-12.33459399332584,29619.85,"01/12/2020, 09:16:51",3.579999999999977
