time t,actual price at t,expected price at t + 3,actual price at t + 3,delta at t,expected delta at t+3,actual delta at t + 3,spot at t,expected spot at t+3,actual spot at t + 3,time t + 3,trade pnl,    , Total PnL:
"01/12/2020, 12:28:24",327.9763157894737,331.769965017084,321.0,-0.44520296319205954,-0.448534132721925,-0.44144783187221037,29699.5,-8.521167964404915,29710.35,"01/12/2020, 12:28:27",-10.256078947368424,    ,-86.79874370730208
"01/12/2020, 12:28:25",321.0,325.1728163209718,326.95,-0.44144783187221037,-0.4451450110409051,-0.446660530360532,29707.85,-9.452569521690823,29695.35,"01/12/2020, 12:28:28",2.7399999999999887
"01/12/2020, 12:28:26",321.0,325.4796986758181,320.35,-0.44144783187221037,-0.44544416592310015,-0.44272703271417413,29710.35,-10.147741935483973,29704.1,"01/12/2020, 12:28:29",-3.8599999999999772,   ,positive:,2
"01/12/2020, 12:28:27",321.0,325.75448153703877,321.0,-0.44144783187221037,-0.44571718121233317,-0.44253157311686664,29710.35,-10.770200222469546,29704.85,"01/12/2020, 12:28:30",-3.21,   ,negative:,16
"01/12/2020, 12:28:28",326.95,332.14245102330983,321.0,-0.446660530360532,-0.4512707011879894,-0.44253157311686664,29695.35,-11.62505005561749,29709.9,"01/12/2020, 12:28:31",-9.21949999999999
"01/12/2020, 12:28:29",320.35,325.74783731032767,318.76102941176464,-0.44272703271417413,-0.44754907395294713,-0.43902624793190625,29704.1,-12.192246941045756,29713.7,"01/12/2020, 12:28:32",-4.792470588235384,   ,EPAP:,7
"01/12/2020, 12:28:30",321.0,326.5714380481331,314.05,-0.44253157311686664,-0.44751227914146163,-0.43921042979491176,29704.85,-12.589922135706487,29711.65,"01/12/2020, 12:28:33",-10.15999999999999,   ,EPAL:,11
"01/12/2020, 12:28:31",321.0,326.6598803704266,314.05,-0.44253157311686664,-0.44762256605051787,-0.43921042979491176,29709.9,-12.789777530589628,29712.95,"01/12/2020, 12:28:34",-10.15999999999999,   ,ELAP:,0
"01/12/2020, 12:28:32",318.76102941176464,324.37993053087445,318.9,-0.43902624793190625,-0.44411057170218027,-0.4411211366459611,29713.7,-12.798553948832073,29708.05,"01/12/2020, 12:28:35",-3.0486397058823083,   ,ELAL:,0
"01/12/2020, 12:28:33",314.05,319.65496020493805,316.35,-0.43921042979491176,-0.44426055285258836,-0.43860657469849684,29711.65,-12.761446051167923,29714.15,"01/12/2020, 12:28:36",-0.8404999999999889
"01/12/2020, 12:28:34",314.05,319.557786729425,317.35,-0.43921042979491176,-0.4441825345584747,-0.44008117756675347,29712.95,-12.54020022246937,29710.4,"01/12/2020, 12:28:37",0.15950000000001108
"01/12/2020, 12:28:35",318.9,324.33042690481795,316.65,-0.4411211366459611,-0.4460083869568175,-0.43750427257691626,29708.05,-12.31051167964402,29717.35,"01/12/2020, 12:28:38",-5.439
"01/12/2020, 12:28:36",316.35,321.5341248021894,312.6847457627118,-0.43860657469849684,-0.44329812998738966,-0.43516042519513576,29714.15,-11.819532814237938,29722.5,"01/12/2020, 12:28:39",-6.828754237288196
"01/12/2020, 12:28:37",317.35,322.32508589339704,312.6847457627118,-0.44008117756675347,-0.4445615474012202,-0.43516042519513576,29710.4,-11.30492769744147,29722.4,"01/12/2020, 12:28:40",-7.838754237288196
"01/12/2020, 12:28:38",316.65,321.26546081335357,314.25,-0.43750427257691626,-0.441681376565041,-0.4338158710197604,29717.35,-10.549521690767403,29726.9,"01/12/2020, 12:28:41",-5.5664999999999765
"01/12/2020, 12:28:39",312.6847457627118,316.8673393204906,314.8,-0.43516042519513576,-0.43895740707944975,-0.4350304939180205,29722.5,-9.61161290322569,29723.65,"01/12/2020, 12:28:42",-1.0115932203389342
"01/12/2020, 12:28:40",312.6847457627118,316.4389410656402,312.8688202247191,-0.43516042519513576,-0.4385387969242797,-0.4338258533152839,29722.4,-8.627152391546034,29726.3,"01/12/2020, 12:28:43",-2.94277299561983
"01/12/2020, 12:28:41",314.25,317.4860733762852,312.8688202247191,-0.4338158710197604,-0.43671112091317416,-0.4338258533152839,29726.9,-7.459555061178952,29722.55,"01/12/2020, 12:28:44",-4.523679775280884
