time t,actual price at t,expected price at t + 2,actual price at t + 2,delta at t,actual delta at t + 2,spot at t,actual spot at t + 2,time t + 2,trade pnl,    , Total PnL:
"01/12/2020, 09:15:04",414.8029411764706,420.8498249802888,466.5,0.5619403125820099,0.5458667276798224,29720.7,29683.05,"01/12/2020, 09:15:06",47.5490294117647,    ,25.240235846280157
"01/12/2020, 09:15:05",456.2,451.0466117316168,452.55,0.5577138196713349,0.5494530926625885,29707.5,29688.6,"01/12/2020, 09:15:07",-0.912000000000023
"01/12/2020, 09:15:06",466.5,456.55124325336936,454.5835365853659,0.5458667276798224,0.552223934482754,29683.05,29694.1,"01/12/2020, 09:15:08",7.251463414634109,   ,positive:,45
"01/12/2020, 09:15:12",460.25,472.58099616239787,456.05,0.5607506105661741,0.5527871207050339,29715.0,29696.75,"01/12/2020, 09:15:14",-8.802499999999988,   ,negative:,51
"01/12/2020, 09:15:14",456.05,446.961406239049,447.0,0.5527871207050339,0.5407129687228007,29696.75,29667.65,"01/12/2020, 09:15:16",4.489500000000011
"01/12/2020, 09:15:16",447.0,437.5538664296055,445.6,0.5407129687228007,0.5439405505057948,29667.65,29674.85,"01/12/2020, 09:15:18",-3.0700000000000225,   ,EPAP:,33
"01/12/2020, 09:15:20",437.5823529411765,422.95542285887285,441.05,0.5278990022816288,0.5249305566394469,29635.6,29628.6,"01/12/2020, 09:15:22",0.9081764705882636,   ,EPAL:,15
"01/12/2020, 09:15:21",437.5823529411765,428.83048396761416,438.95,0.5278990022816288,0.5240965372649953,29614.3,29626.35,"01/12/2020, 09:15:23",3.0081764705882863,   ,ELAP:,16
"01/12/2020, 09:15:22",441.05,446.2401857610189,433.1,0.5249305566394469,0.5340835137758404,29628.6,29650.2,"01/12/2020, 09:15:24",-12.360499999999988,   ,ELAL:,32
"01/12/2020, 09:15:24",433.1,442.380169925942,435.4953488372093,0.5340835137758404,0.5319133653301833,29650.2,29653.3,"01/12/2020, 09:15:26",-1.9356511627907311
"01/12/2020, 09:15:30",444.15,449.2421932395837,449.3,0.5507417020453431,0.5488726434123237,29689.7,29686.65,"01/12/2020, 09:15:32",0.7085000000000345
"01/12/2020, 09:15:35",444.1521052631579,437.4231574528503,432.4,0.5353030756850785,0.5408286733654677,29653.85,29665.6,"01/12/2020, 09:15:37",7.310584210526365
"01/12/2020, 09:15:46",442.0,449.1323981458627,447.2,0.544486119360954,0.545443347255059,29675.45,29678.55,"01/12/2020, 09:15:48",0.7799999999999887
"01/12/2020, 09:16:12",440.25,429.9335323678235,437.9,0.5367535249206412,0.5346154103790468,29657.4,29652.05,"01/12/2020, 09:16:14",-2.052499999999977
"01/12/2020, 09:16:30",430.0,424.239222149615,428.65,0.5297133299791312,0.5315586803590122,29639.5,29643.75,"01/12/2020, 09:16:32",-2.949999999999977
"01/12/2020, 09:16:35",423.95,419.3630529656547,421.35,0.5250536021776497,0.5266905286589463,29627.75,29631.5,"01/12/2020, 09:16:37",-1.6395000000000337
"01/12/2020, 09:16:47",418.0,422.58336476212736,418.3,0.5202896621995023,0.5206899405493459,29615.75,29616.75,"01/12/2020, 09:16:49",-3.8799999999999883
"01/12/2020, 09:17:03",410.35,415.57466541223124,412.65,0.5134865195032035,0.5165851205674699,29598.6,29606.4,"01/12/2020, 09:17:05",-1.8035000000000458
"01/12/2020, 09:17:12",405.7,399.36608662355883,405.2,0.5068814523838228,0.5082235413283342,29581.75,29585.25,"01/12/2020, 09:17:14",-3.5570000000000004
"01/12/2020, 09:17:43",414.65,420.96688467649915,412.7,0.5182536537176929,0.5145311907654104,29610.6,29601.25,"01/12/2020, 09:17:45",-6.096499999999988
"01/12/2020, 09:17:44",415.9,411.62213458931325,413.5,0.5134875445946818,0.5147665497133858,29598.6,29601.85,"01/12/2020, 09:17:46",-1.7590000000000225
"01/12/2020, 09:18:16",413.65,408.62136598628604,416.0,0.5125270446114882,0.5149946703568276,29596.15,29602.45,"01/12/2020, 09:18:18",1.786499999999977
"01/12/2020, 09:18:31",395.6,387.80365360134135,400.0,0.4953286256750289,0.49762049711716827,29551.75,29557.5,"01/12/2020, 09:18:33",-0.44399999999997686
"01/12/2020, 09:18:36",405.8,411.42857851466357,405.15,0.5056193725067715,0.502849090116797,29578.45,29571.15,"01/12/2020, 09:18:38",-4.708000000000034
"01/12/2020, 09:19:36",406.7,411.0582755368408,410.0,0.5075643643976946,0.5078623698864249,29583.5,29584.15,"01/12/2020, 09:19:38",-0.7669999999999888
"01/12/2020, 09:20:00",386.8,382.50897788256054,394.15,0.4891334113381163,0.49238913497902104,29535.95,29543.85,"01/12/2020, 09:20:02",-3.4819999999999656
"01/12/2020, 09:20:06",391.7,395.82250657319,395.05,0.49903468916454585,0.5011391090192774,29562.15,29567.4,"01/12/2020, 09:20:08",-0.5669999999999771
"01/12/2020, 09:20:44",373.85,367.25270138673255,380.4,0.48998995625879616,0.48527703665968147,29540.4,29526.35,"01/12/2020, 09:20:46",-2.8114999999999544
"01/12/2020, 09:20:45",373.75,368.0959207246462,373.8,0.48435321787110297,0.48397802529507317,29525.1,29524.05,"01/12/2020, 09:20:47",3.687499999999989
