time t,actual price at t,expected price at t + 2,actual price at t + 2,delta at t,actual delta at t + 2,spot at t,actual spot at t + 2,time t + 2,trade pnl,    , Total PnL:
"01/12/2020, 09:15:04",249.0,253.23544168745713,277.8,0.3936019779757771,0.3923406758076453,29720.7,29683.05,"01/12/2020, 09:15:06",26.31000000000001,    ,-20.900721868468274
"01/12/2020, 09:15:05",269.05,265.3889902471165,259.5,0.39620452153030783,0.3880594916154223,29707.5,29688.6,"01/12/2020, 09:15:07",6.859500000000011
"01/12/2020, 09:15:06",277.8,270.64934994662576,264.95,0.3923406758076453,0.3912898354428762,29683.05,29694.1,"01/12/2020, 09:15:08",10.072000000000022,   ,positive:,70
"01/12/2020, 09:15:12",276.95,285.75939743040044,278.55,0.4006063194538001,0.3961434431403177,29715.0,29696.75,"01/12/2020, 09:15:14",-1.1694999999999771,   ,negative:,115
"01/12/2020, 09:15:14",278.55,272.0368474844805,270.97283372365337,0.3961434431403177,0.3921456163880066,29696.75,29667.65,"01/12/2020, 09:15:16",4.791666276346644
"01/12/2020, 09:15:16",270.97283372365337,264.12213827945953,267.2,0.3921456163880066,0.38693418173352256,29667.65,29674.85,"01/12/2020, 09:15:18",1.063105386416844,   ,EPAP:,71
"01/12/2020, 09:15:20",266.73454545454547,256.03104557105115,256.55,0.3862988937271439,0.37185091287028627,29635.6,29628.6,"01/12/2020, 09:15:22",7.5172000000000025,   ,EPAL:,24
"01/12/2020, 09:15:21",256.1205882352941,250.0168674572688,256.55,0.36816685883422906,0.37185091287028627,29614.3,29626.35,"01/12/2020, 09:15:23",2.1317941176470514,   ,ELAP:,26
"01/12/2020, 09:15:22",256.55,260.22662977281556,257.65,0.37185091287028627,0.37750841765955556,29628.6,29650.2,"01/12/2020, 09:15:24",-1.4655000000000342,   ,ELAL:,64
"01/12/2020, 09:15:24",257.65,264.20954017300846,256.6505787037037,0.37750841765955556,0.3779800537358824,29650.2,29653.3,"01/12/2020, 09:15:26",-3.5759212962963045
"01/12/2020, 09:15:30",268.1,271.716168889249,268.1,0.39110358056859695,0.3902966564055532,29689.7,29686.65,"01/12/2020, 09:15:32",-2.6810000000000005
"01/12/2020, 09:15:33",267.3,264.36118399457257,265.8,0.38731440236006165,0.3811681231127295,29676.2,29653.85,"01/12/2020, 09:15:35",-1.173
"01/12/2020, 09:15:35",265.8,261.0085827190588,259.29303797468356,0.3811681231127295,0.3803974831953383,29653.85,29665.6,"01/12/2020, 09:15:37",3.848962025316454
"01/12/2020, 09:15:40",264.0910810810811,261.42727491961017,259.337786259542,0.3831798042938317,0.3786863187997369,29655.3,29653.2,"01/12/2020, 09:15:42",2.1123840107282894
"01/12/2020, 09:15:46",261.4,266.4459252886489,266.4487603305785,0.38520511934621027,0.38765163562857197,29675.45,29678.55,"01/12/2020, 09:15:48",2.4347603305785457
"01/12/2020, 09:16:05",265.8,268.6242871178092,265.35,0.3899403709510807,0.38816091228000005,29688.05,29681.85,"01/12/2020, 09:16:07",-3.107999999999989
"01/12/2020, 09:16:12",264.15,256.81742315371133,257.7858490566038,0.3815052408754127,0.37775896339553583,29657.4,29652.05,"01/12/2020, 09:16:14",3.722650943396169
"01/12/2020, 09:16:30",251.8,247.74572550877275,251.8,0.37279744110492175,0.37279744110492175,29639.5,29643.75,"01/12/2020, 09:16:32",-2.5180000000000002
"01/12/2020, 09:16:35",246.25,243.03600877325655,243.5,0.3678956086332619,0.36777556570086745,29627.75,29631.5,"01/12/2020, 09:16:37",0.2875000000000001
"01/12/2020, 09:16:37",243.5,246.32180216037892,247.85,0.36777556570086745,0.3680567504488863,29631.5,29625.95,"01/12/2020, 09:16:39",1.9149999999999943
"01/12/2020, 09:16:41",240.0,237.40132930065744,242.0,0.3627212473475083,0.3621230973294587,29616.15,29610.35,"01/12/2020, 09:16:43",0.3999999999999999
"01/12/2020, 09:16:47",243.9,247.10771838992372,244.55,0.3641304596385453,0.36461569734456134,29615.75,29616.75,"01/12/2020, 09:16:49",-1.7889999999999944
"01/12/2020, 09:16:56",238.75,235.957802719784,235.0,0.3580484149097174,0.35355159852770157,29598.35,29585.3,"01/12/2020, 09:16:58",1.3624999999999998
"01/12/2020, 09:16:58",235.0,232.31192003585684,232.3,0.35355159852770157,0.3522245502608712,29585.3,29584.35,"01/12/2020, 09:17:00",0.34999999999998854
"01/12/2020, 09:17:03",238.6,242.24308050652658,241.2,0.3580464167498576,0.36088453571210266,29598.6,29606.4,"01/12/2020, 09:17:05",0.2139999999999942
"01/12/2020, 09:17:12",234.2,229.79619301714519,232.55,0.35242163048678776,0.35253207133791875,29581.75,29585.25,"01/12/2020, 09:17:14",-0.6920000000000228
