time t,actual price at t,expected price at t + 3,actual price at t + 3,delta at t,expected delta at t+3,actual delta at t + 3,spot at t,expected spot at t+3,actual spot at t + 3,time t + 3,trade pnl,    , Total PnL:
"01/12/2020, 09:15:22",372.8,377.91786640151594,357.4,-0.439909005217487,-0.44483845297834607,-0.4330347533141321,29628.6,-11.505000000000106,29645.3,"01/12/2020, 09:15:25",-19.128000000000036,    ,-177.8477500000001
"01/12/2020, 09:15:23",359.5,365.789341727767,358.05,-0.439215413734928,-0.4443979316563759,-0.43067196193078416,29626.35,-14.152500000000328,29653.3,"01/12/2020, 09:15:26",-5.044999999999989
"01/12/2020, 09:15:24",359.5,363.3196002225865,353.9,-0.439215413734928,-0.4443979316563759,-0.42757703668030445,29650.2,-8.594999999999889,29661.8,"01/12/2020, 09:15:27",-9.195000000000023,   ,positive:,5
"01/12/2020, 09:18:31",402.8,406.8718744795162,396.75,-0.467140116597875,-0.4704649889677775,-0.46319177708937787,29551.75,-8.655000000000108,29562.5,"01/12/2020, 09:18:34",-10.078000000000012,   ,negative:,32
"01/12/2020, 09:18:32",403.95,408.2321568479651,394.15,-0.4664699991735688,-0.4699211904488421,-0.4628033424523892,29553.85,-9.1125,29563.25,"01/12/2020, 09:18:35",-13.839500000000012
"01/12/2020, 12:28:16",264.875,267.6075926467127,260.2,-0.3775505374505883,-0.37952675648787254,-0.38076107111919555,29753.8,-7.199999999999999,29758.05,"01/12/2020, 12:28:19",-7.323750000000011
"01/12/2020, 12:28:21",270.65,273.7895820126568,286.4,-0.38754554593651847,-0.3908598833061804,-0.4048625462928612,29744.4,-8.03249999999989,29699.5,"01/12/2020, 12:28:24",13.0435
"01/12/2020, 12:28:22",270.65,273.8765475871118,285.3,-0.38754554593651847,-0.3907414577186405,-0.40203018943429925,29741.6,-8.257500000000437,29707.85,"01/12/2020, 12:28:25",11.943500000000034
"01/12/2020, 12:28:23",288.35,295.02376756586307,279.2,-0.40781240650176187,-0.41426241873762737,-0.3998832531578955,29691.45,-16.109999999999673,29710.35,"01/12/2020, 12:28:26",-12.033500000000034
"01/12/2020, 12:28:24",286.4,292.48827566591837,279.2,-0.4048625462928612,-0.41081482226170346,-0.3998832531578955,29699.5,-14.819999999999892,29710.35,"01/12/2020, 12:28:27",-10.06399999999999
"01/12/2020, 12:28:25",285.3,290.8964778365867,284.0,-0.40203018943429925,-0.40753525116231587,-0.4056540276906162,29707.85,-13.732500000000435,29695.35,"01/12/2020, 12:28:28",-4.153000000000011
"01/12/2020, 12:28:26",279.2,284.55905694800276,283.25,-0.3998832531578955,-0.40506855238115685,-0.4027389226394007,29710.35,-13.23000000000011,29704.1,"01/12/2020, 12:28:29",1.2580000000000116
"01/12/2020, 12:28:27",279.2,284.52552620884273,274.25,-0.3998832531578955,-0.4050599892635594,-0.40045646019279957,29710.35,-13.147500000000218,29704.85,"01/12/2020, 12:28:30",-7.7419999999999884
"01/12/2020, 12:28:28",284.0,290.2650182732999,276.325,-0.4056540276906162,-0.4116982601149893,-0.3993565769178531,29695.35,-15.217500000000108,29709.9,"01/12/2020, 12:28:31",-10.515000000000011
"01/12/2020, 12:28:29",283.25,288.77585487834335,276.325,-0.4027389226394007,-0.40818872600874256,-0.3993565769178531,29704.1,-13.537500000000001,29713.7,"01/12/2020, 12:28:32",-9.757500000000011
"01/12/2020, 12:28:30",274.25,279.69445336858297,274.95,-0.40045646019279957,-0.4055458747547834,-0.398488633800298,29704.85,-13.425,29711.65,"01/12/2020, 12:28:33",-2.0425000000000115
"01/12/2020, 12:28:31",276.325,281.40292580813053,276.45,-0.3993565769178531,-0.4042129996521812,-0.3984391214544303,29709.9,-12.562500000000004,29712.95,"01/12/2020, 12:28:34",-2.6382499999999998
"01/12/2020, 12:28:32",276.325,281.1693209401411,276.7,-0.3993565769178531,-0.4041986600034426,-0.40002131227083737,29713.7,-11.984999999999676,29708.05,"01/12/2020, 12:28:35",-2.3882499999999998
"01/12/2020, 12:28:33",274.95,279.8296872790028,277.15,-0.398488633800298,-0.4031133646429608,-0.3982331389124738,29711.65,-12.104999999999563,29714.15,"01/12/2020, 12:28:36",-0.5495000000000112
"01/12/2020, 12:28:34",276.45,280.13192252798166,275.35,-0.3984391214544303,-0.4017373189287211,-0.3989723418271751,29712.95,-9.164999999999782,29710.4,"01/12/2020, 12:28:37",-3.864499999999966
"01/12/2020, 12:28:35",276.7,279.4694945226487,273.325,-0.40002131227083737,-0.4035693293477188,-0.39633364795008674,29708.05,-6.8625000000000025,29717.35,"01/12/2020, 12:28:38",-6.1419999999999995
"01/12/2020, 13:30:53",280.0,282.93507131425304,288.35,-0.40515004056942416,-0.40807387059478634,-0.4115104619813792,29694.55,-7.192500000000107,29680.3,"01/12/2020, 13:30:56",5.550000000000022
"01/12/2020, 13:30:56",288.35,291.34483087916476,284.75,-0.4115104619813792,-0.4146529427711549,-0.4108117576834047,29680.3,-7.222500000000219,29680.2,"01/12/2020, 13:30:59",-6.4835000000000225
"01/12/2020, 13:39:10",212.2,210.04315231193527,218.15,-0.346177726987662,-0.34235677588328955,-0.3493414971671882,29823.7,6.300000000000001,29820.75,"01/12/2020, 13:39:13",-8.072000000000017
"01/12/2020, 13:39:12",210.95,208.8358145339919,218.425,-0.34343490151513834,-0.3396281873105373,-0.3491656362712092,29832.05,6.225,29821.8,"01/12/2020, 13:39:15",-9.584500000000023
"01/12/2020, 14:01:09",202.85,200.54335656077973,212.6,-0.3364784269251686,-0.33248914439211247,-0.3408269046303758,29845.55,6.937500000000002,29844.75,"01/12/2020, 14:01:12",-11.778500000000001
"01/12/2020, 14:01:10",210.5,208.28869500010924,214.35,-0.3395950287085725,-0.33619232229428136,-0.3418529307964491,29846.15,6.577500000000329,29843.55,"01/12/2020, 14:01:13",-5.954999999999995
"01/12/2020, 14:13:15",195.0,193.01329444682952,197.6,-0.3256287625845289,-0.32225556418013995,-0.3277034854363592,29874.35,6.164999999999782,29870.85,"01/12/2020, 14:13:18",-4.5499999999999945
"01/12/2020, 14:13:16",193.85,191.72887758000167,199.2,-0.3253112477068498,-0.32174780735658715,-0.3286839719294221,29873.45,6.5925000000001095,29869.85,"01/12/2020, 14:13:19",-7.288499999999994
"01/12/2020, 14:13:19",199.2,197.11554108432355,200.6,-0.3286839719294221,-0.3254424536575435,-0.32939272768999217,29869.85,6.404999999999566,29869.55,"01/12/2020, 14:13:22",-3.3920000000000057
"01/12/2020, 14:13:20",200.0,197.989751288207,200.35,-0.32876170334930066,-0.3256782036116515,-0.3291681618975417,29871.0,6.17250000000022,29870.0,"01/12/2020, 14:13:23",-2.3499999999999943
"01/12/2020, 14:13:21",201.05,199.01944852326497,202.1,-0.32964500269372365,-0.3265864860048551,-0.33037642415365553,29869.35,6.217499999999566,29868.3,"01/12/2020, 14:13:24",-3.060499999999983
"01/12/2020, 14:58:02",171.0,169.2446284885965,173.9,-0.3058718571992358,-0.30317297260855985,-0.3078469537285855,29905.55,5.7899999999997815,29903.95,"01/12/2020, 14:58:05",-4.610000000000006
"01/12/2020, 14:58:07",175.8,173.84200349686884,175.65,-0.3081191061028221,-0.3056981269525606,-0.3092577746429015,29907.15,6.4050000000001095,29902.0,"01/12/2020, 14:58:10",-1.6079999999999945
"01/12/2020, 15:21:46",187.45,189.62819453885393,190.0,-0.33837806731753517,-0.34047589509243964,-0.34136206295443117,29813.25,-6.397500000000218,29807.0,"01/12/2020, 15:21:49",0.6755000000000115
"01/12/2020, 15:21:48",188.65,190.9266214627257,188.5,-0.33918613980858936,-0.34145053809161735,-0.338774342162651,29812.4,-6.667499999999562,29813.6,"01/12/2020, 15:21:51",-2.0365000000000055
"01/12/2020, 15:21:49",190.0,192.22691795803797,188.85,-0.34136206295443117,-0.3436601787095577,-0.34005133175014635,29807.0,-6.48000000000011,29809.7,"01/12/2020, 15:21:52",-3.050000000000006
